douban_id,imdb
19964658,tt2310109
19964862,tt2147484
19964930,tt0181892
19964948,tt2087984
19965083,tt2181219
19965092,tt2075376
19965194,tt2396224
19965196,tt2377700
19965216,tt9548040
19965220,tt4168486
19965222,tt11279462
19965226,tt6967066
19965232,tt3545220
19965250,tt2977390
19965262,tt2973542
19965296,tt3608838
19965431,tt2431934
19965462,tt2954734
19965491,tt2310906
19965600,tt2288050
19965656,tt1697994
19965675,tt13717814
19965685,tt10408960
19965694,tt0030855
19965699,tt0039648
19965700,tt0040763
19965703,tt0043839
19965704,tt0465497
19965707,tt1908564
19965709,tt2285752
19965710,tt0284109
19965718,tt1710433
19965775,tt2356754
19965875,tt2398104
19965908,tt2321022
19965933,tt2281551
19965998,tt2120683
19966002,tt2134170
19966005,tt2381355
19966055,tt2040508
19966080,tt7751614
19966126,tt3338480
19966150,tt6441252
19966581,tt3140358
19966594,tt1686887
19966595,tt3310748
19966598,tt2418970
19966639,tt1441471
19966640,tt2184263
19966641,tt1559008
19966681,tt2387612
19966691,tt0093427
19967151,tt2192200
19967158,tt2404552
19967280,tt2108605
19967281,tt1908604
19967433,tt0635167
19967435,tt0635215
19967437,tt0635165
19967438,tt0506514
19967443,tt2168161
19967444,tt2168159
19967446,tt1684688
19967448,tt0657256
19967452,tt0657339
19967453,tt0657336
19967519,tt2301120
19967520,tt2349098
19967569,tt2431308
19967684,tt0708496
19967687,tt2327804
19967723,tt7970832
19967728,tt7149540
19967777,tt4025938
19967779,tt5188442
19967789,tt9501228
19967792,tt9721820
19967811,tt2380175
19967830,tt12884386
19967839,tt3209682
19967842,tt6357810
19967850,tt1846717
19967852,tt2102349
19967854,tt2575678
19967862,tt1933073
19967883,tt1728860
19967905,tt2090578
19967908,tt2051999
19967915,tt0278527
19968498,tt2367456
19968530,tt1623353
19968532,tt1836434
19968548,tt3206154
19968810,tt2070853
19968811,tt1778210
19968813,tt2306473
19968908,tt2261140
19968910,tt2170054
19968926,tt2081882
19969180,tt3611060
19969181,tt3611058
19969183,tt3611064
19969184,tt2463732
19969188,tt16316326
19969191,tt2495510
19969194,tt2542302
19969197,tt2468918
19969209,tt33082050
19969225,tt2806646
19969312,tt2140031
19969315,tt2328729
19969335,tt1942819
19969337,tt2112127
19969374,tt2245990
19969382,tt1535105
19969444,tt2165236
19969445,tt2207090
19969446,tt2186812
19970092,tt2377294
19970152,tt2389845
19970169,tt1937226
19970493,tt1828981
19970494,tt2330322
19970497,tt2361143
19970498,tt0343891
19970499,tt1871291
19970500,tt0828447
19970501,tt1690194
19970502,tt0058056
19970503,tt1825822
19970504,tt1825823
19970505,tt1825824
19970506,tt1928195
19970508,tt1941559
19970509,tt1941560
19970511,tt2229747
19970533,tt2183404
19970565,tt2376672
19970594,tt2363219
19970648,tt2040643
19970756,tt1836884
19970797,tt0013834
19971336,tt2188913
19971387,tt1758595
19971407,tt2387452
19971427,tt1929284
19971497,tt0647688
19971499,tt0647611
19971533,tt2340720
19971593,tt3208960
19971602,tt6518006
19971609,tt3061226
19971620,tt7527652
19971631,tt2393284
19971634,tt0247684
19971638,tt3119946
19971639,tt5092420
19971643,tt2591732
19971659,tt16290286
19971661,tt2700064
19971667,tt2591764
19971669,tt2441214
19971676,tt2283336
19971692,tt2440362
19971696,tt1969903
19971698,tt0394457
19971700,tt1052575
19971705,tt1363635
19971706,tt1231365
19971710,tt0771032
19971714,tt0771389
19971743,tt1263482
19971745,tt1264022
19971749,tt0982466
19971751,tt1507526
19971756,tt0611609
19971765,tt0890605
19971770,tt0874187
19971830,tt1736160
19971849,tt2427924
19971853,tt2427950
19971900,tt1803592
19972004,tt2420740
19972065,tt1758618
19972172,tt2419934
19972177,tt2381317
19972298,tt2324730
19972301,tt1276866
19972303,tt1276823
19972304,tt1276833
19972392,tt2409642
19972622,tt0053369
19972627,tt2329771
19972628,tt2390942
19972744,tt2592324
19972749,tt2424626
19972751,tt2077813
19972775,tt2015298
19972792,tt1999860
19972794,tt2084949
19972795,tt2317315
19972797,tt1757815
19972799,tt2395842
19972805,tt1830509
19972806,tt1972636
19972807,tt1706591
19972809,tt1821415
19972812,tt2279083
19972813,tt1964634
19972814,tt2325991
19972815,tt0012352
19972816,tt2217582
19972818,tt2272902
19972819,tt2314701
19972820,tt0144618
19972822,tt0007407
19972823,tt2256811
19972824,tt1935298
19972825,tt1895604
