douban_id,imdb_id,Title,Year,Directors,Actors,Genres,Country,Runtime,YourRating_douban,YourRating_imdb,DateRated_First,DateRated_douban,DateRated_imdb,PublicRating_douban,Votes_douban,PublicRating_imdb,Votes_imdb,URL_douban,URL_imdb
1296384.0,tt0119174,心理游戏,1997,大卫·芬奇,"迈克尔·道格拉斯, 西恩·潘, 黛博拉·卡拉·安格","剧情, 悬疑, 惊悚",美国,129.0,4.0,7.0,2023-10-30,2025-08-16,2023-10-30,7.7,115656.0,7.7,457223.0,https://movie.douban.com/subject/1296384/,https://www.imdb.com/title/tt0119174/
1300117.0,tt0119177,千钧一发,1997,安德鲁·尼科尔,"伊桑·霍克, 乌玛·瑟曼, 裘德·洛","剧情, 科幻, 惊悚",美国,106.0,5.0,9.0,2017-11-18,2017-11-18,2017-11-18,8.8,338550.0,7.7,338689.0,https://movie.douban.com/subject/1300117/,https://www.imdb.com/title/tt0119177/
1292656.0,tt0119217,心灵捕手,1997,格斯·范·桑特,"马特·达蒙, 罗宾·威廉姆斯, 本·阿弗莱克",剧情,美国,126.0,5.0,9.0,2018-02-14,2018-02-14,2018-02-19,9.0,796980.0,8.3,1153653.0,https://movie.douban.com/subject/1292656/,https://www.imdb.com/title/tt0119217/
1302642.0,tt0119250,花火,1997,北野武,"北野武, 岸本加世子, 大杉涟","剧情, 爱情, 惊悚",日本,103.0,4.0,8.0,2019-06-09,2019-06-09,2019-07-25,8.6,136438.0,7.7,34725.0,https://movie.douban.com/subject/1302642/,https://www.imdb.com/title/tt0119250/
1300930.0,tt0119349,冰风暴,1997,李安,"凯文·克莱恩, 琼·艾伦, 西格妮·韦弗","剧情, 家庭",美国,112.0,3.0,6.0,2021-06-16,2021-06-16,2022-07-24,7.9,35438.0,7.3,62479.0,https://movie.douban.com/subject/1300930/,https://www.imdb.com/title/tt0119349/
1292348.0,tt0119488,洛城机密,1997,柯蒂斯·汉森,"凯文·史派西, 罗素·克劳, 盖·皮尔斯","剧情, 悬疑, 惊悚",美国,138.0,4.0,9.0,2018-03-27,2018-03-27,2018-03-29,8.9,184888.0,8.2,646085.0,https://movie.douban.com/subject/1292348/,https://www.imdb.com/title/tt0119488/
1295318.0,tt0119528,大话王,1997,汤姆·沙迪亚克,"金·凯瑞, 毛拉·蒂尔内, 贾斯汀·库珀","喜剧, 奇幻",美国,86.0,4.0,7.0,2024-04-14,2024-04-14,2024-04-14,7.8,88595.0,6.9,353392.0,https://movie.douban.com/subject/1295318/,https://www.imdb.com/title/tt0119528/
1296778.0,tt0119558,一树梨花压海棠,1997,阿德里安·莱恩,"杰瑞米·艾恩斯, 多米尼克·斯万, 梅兰尼·格里菲斯","剧情, 爱情, 情色",法国 美国,137.0,4.0,8.0,2019-09-04,2019-09-04,2022-07-24,8.2,264528.0,6.8,71859.0,https://movie.douban.com/subject/1296778/,https://www.imdb.com/title/tt0119558/
1297359.0,tt0119698,幽灵公主,1997,宫崎骏,"松田洋治, 石田百合子, 田中裕子","动画, 奇幻, 冒险",日本,133.0,4.0,8.0,2020-08-26,2020-08-26,2022-07-24,8.9,652344.0,8.3,466100.0,https://movie.douban.com/subject/1297359/,https://www.imdb.com/title/tt0119698/
1308567.0,tt0120120,失乐园,1997,森田芳光,"役所广司, 黑木瞳, 寺尾聪","剧情, 爱情, 情色",日本,119.0,3.0,7.0,2023-01-02,2023-01-02,2023-02-28,7.4,46430.0,6.6,829.0,https://movie.douban.com/subject/1308567/,https://www.imdb.com/title/tt0120120/
