Const,Your Rating,Date Rated,Title,Directors,Actors,Country,Year,Genres,Douban Rating,Num Votes,MyComment,URL,Cover URL,douban_id
tt14114802,3,2023-10-22,套装,格拉汉姆·摩尔,"马克·里朗斯, 西蒙·拉塞尔·比尔, 约翰尼·弗林",美国,2022,"剧情, 惊悚, 犯罪",7.9,107411,,https://movie.douban.com/subject/35372415/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2868098898.jpg,35372415
,3,2023-10-21,乐队的夏天 第三季,"王雪, 陈雨璇","大张伟, 高叶, 马东",中国大陆,2023,"音乐, 真人秀",7.2,29696,,https://movie.douban.com/subject/36055633/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2896695797.jpg,36055633
tt0056172,4,2023-10-17,阿拉伯的劳伦斯,大卫·里恩,"彼得·奥图尔, 亚历克·吉尼斯, 安东尼·奎恩",英国,1962,"剧情, 传记, 冒险",8.7,60336,,https://movie.douban.com/subject/1292349/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1697190295.jpg,1292349
tt0097239,4,2023-10-12,为黛西小姐开车,布鲁斯·贝尔斯福德,"摩根·弗里曼, 杰西卡·坦迪, 丹·艾克罗伊德",美国,1989,"剧情, 喜剧",8.3,51083,,https://movie.douban.com/subject/1293204/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p861513408.jpg,1293204
tt0328107,4,2023-10-11,怒火救援,托尼·斯科特,"丹泽尔·华盛顿, 达科塔·范宁, 拉达·米切尔",美国 英国 墨西哥 德国,2004,"剧情, 动作, 惊悚",8.1,87723,,https://movie.douban.com/subject/1309116/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p1673558925.jpg,1309116
tt12758060,3,2023-10-09,俄罗斯方块,乔·拜尔德,"塔伦·埃哲顿, 尼基塔·叶甫列莫夫, 奥列格·斯特凡",英国 美国,2023,"剧情, 惊悚, 传记",8.1,68582,,https://movie.douban.com/subject/26087471/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2888730530.jpg,26087471
tt2713180,3,2023-10-09,狂怒,大卫·阿耶,"布拉德·皮特, 希亚·拉博夫, 罗根·勒曼",美国 中国大陆 英国,2014,"剧情, 动作, 战争",8.0,215228,,https://movie.douban.com/subject/23331914/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p2209858994.jpg,23331914
tt0074102,4,2023-10-09,未知电影,,,,,,0.0,0,,https://movie.douban.com/subject/1292790/,https://img2.doubanio.com/f/frodo/753fa1e93c945e533e52dddab73b2b55a1083083/pics/subject/movie_large.jpg,1292790
tt2121382,4,2023-10-04,游客,鲁本·奥斯特伦德,"约翰内斯·昆科, 丽莎·洛文·孔斯利, Clara Wettergren",瑞典 法国 挪威 丹麦,2014,"剧情, 家庭",7.5,22646,,https://movie.douban.com/subject/7155005/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2207561733.jpg,7155005
tt7205208,4,2023-10-01,嘉年华,文晏,"文淇, 周美君, 史可",中国大陆 法国,2017,剧情,8.2,303147,,https://movie.douban.com/subject/27019527/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2503644828.jpg,27019527
tt1330525,3,2023-09-20,证人,林超贤,"谢霆锋, 张静初, 张家辉",中国香港 中国大陆,2008,"动作, 惊悚",7.3,107511,,https://movie.douban.com/subject/3312344/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p665243753.jpg,3312344
tt0121765,4,2023-09-18,星球大战前传2：克隆人的进攻,乔治·卢卡斯,"伊万·麦克格雷格, 娜塔莉·波特曼, 海登·克里斯滕森",美国,2002,"动作, 科幻, 冒险",8.1,111093,,https://movie.douban.com/subject/1297785/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2308393297.jpg,1297785
tt0121766,4,2023-09-18,星球大战前传3：西斯的反击,乔治·卢卡斯,"伊万·麦克格雷格, 娜塔莉·波特曼, 海登·克里斯滕森",美国,2005,"动作, 科幻, 奇幻",8.5,117455,,https://movie.douban.com/subject/1309078/,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p533908031.jpg,1309078
tt0120915,4,2023-09-12,星球大战前传1：幽灵的威胁,乔治·卢卡斯,"连姆·尼森, 伊万·麦克格雷格, 娜塔莉·波特曼",美国,1999,"动作, 科幻, 冒险",8.2,135381,特效是有质的飞跃,https://movie.douban.com/subject/1294362/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2308392633.jpg,1294362
tt0195256,4,2023-09-10,神女,吴永刚,"阮玲玉, 黎铿, 章志直",中国大陆,1934,剧情,9.1,45057,,https://movie.douban.com/subject/1302210/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2028929312.jpg,1302210
tt0086190,4,2023-09-10,星球大战3：绝地归来,理查德·马昆德,"马克·哈米尔, 哈里森·福特, 凯丽·费雪",美国,1983,"动作, 科幻, 奇幻",8.4,105682,,https://movie.douban.com/subject/1297151/,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p847596881.jpg,1297151
tt0080684,4,2023-09-08,星球大战2：帝国反击战,厄文·克什纳,"马克·哈米尔, 哈里森·福特, 凯丽·费雪",美国,1980,"动作, 科幻, 冒险",8.4,116136,,https://movie.douban.com/subject/1296528/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p732937546.jpg,1296528
tt0076759,4,2023-09-06,星球大战,乔治·卢卡斯,"哈里森·福特, 马克·哈米尔, 凯丽·费雪",美国,1977,"动作, 科幻, 冒险",8.5,156534,,https://movie.douban.com/subject/1293838/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2500865872.jpg,1293838
tt0292066,4,2023-09-06,蓝宇,关锦鹏,"胡军, 刘烨, 苏瑾",中国大陆 中国香港,2001,"剧情, 爱情, 同性",8.4,340598,,https://movie.douban.com/subject/1308076/,https://img9.doubanio.com/view/photo/m_ratio_poster/public/p471812775.jpg,1308076
tt0095705,4,2023-09-05,白头神探,大卫·扎克,"莱斯利·尼尔森, 普瑞希拉·普雷斯利, 里卡多·蒙特尔班",美国,1988,"喜剧, 犯罪",7.9,45335,,https://movie.douban.com/subject/1302176/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2136952828.jpg,1302176
tt0120363,4,2023-09-05,玩具总动员2,"约翰·拉塞特, 艾什·布兰农, 李·昂克里奇","汤姆·汉克斯, 蒂姆·艾伦, 琼·库萨克",美国,1999,"喜剧, 动画, 奇幻",8.5,280697,,https://movie.douban.com/subject/1291574/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p1283688673.jpg,1291574
tt5029608,5,2023-09-04,弗兰兹,弗朗索瓦·欧容,"皮埃尔·尼内, 葆拉·贝尔, 恩斯特·施托兹",法国 德国,2016,"剧情, 爱情, 历史",8.4,48624,,https://movie.douban.com/subject/26616719/,https://img3.doubanio.com/view/photo/m_ratio_poster/public/p2383307897.jpg,26616719
tt15398776,5,2023-09-03,奥本海默,克里斯托弗·诺兰,"基里安·墨菲, 艾米莉·布朗特, 马特·达蒙",美国 英国,2023,"剧情, 传记, 历史",8.8,798665,,https://movie.douban.com/subject/35593344/,https://img2.doubanio.com/view/photo/m_ratio_poster/public/p2876555451.jpg,35593344
tt3501416,4,2023-08-24,暗杀,崔东勋,"全智贤, 李政宰, 河正宇",韩国,2015,"剧情, 动作, 历史",8.1,239877,,https://movie.douban.com/subject/25823132/,https://img1.doubanio.com/view/photo/m_ratio_poster/public/p2265086398.jpg,25823132
